Cust Num,Cust Name,Vehicle,Recall Date,Campaign,Campaign Description,Year,Make,Model,Series,VIN,License Num,Driver,Customer Vehicle ID,Lease Term,Months In Service,Mileage,Mileage Date,Lease Exp. Date,Notes
389911,LifeServe Blood Center,26GXNF,09/19/2023,246,Electric Oil Pump,2023,Hyundai,Kona,SE 4dr Front-Wheel Drive,KM8K22AB6PU029130,NEW281,Vehicle #49 .,-,60.0,36,49570,05/08/2026,05/31/2028,
389912,LifeServe Blood Center/Sioux City,26GXP2,09/19/2023,246,Electric Oil Pump,2023,Hyundai,Kona,SE 4dr Front-Wheel Drive,KM8K22AB2PU029187,NBA548,Vehicle #47,-,60.0,36,62814,05/06/2026,05/31/2028,
389911,LifeServe Blood Center,26GXSN,04/09/2026,06DR,Side Curtain Airbag,2023,Chrysler,Voyager,LX Passenger Van,2C4RC1CG0PR517103,MVY547,Vehicle #46 .,Central Region,60.0,38,52892,05/09/2026,03/31/2028,
389911,LifeServe Blood Center,26VFPP,11/17/2025,R25D1,Engine Bearing Failure,2023,Nissan,Rogue,S 4dr All-Wheel Drive,5N1BT3AB0PC843704,NMH732,Vehicle #62 .,North Region,60.0,34,98375,05/07/2026,07/31/2028,
389911,LifeServe Blood Center,276ZVW,12/11/2024,N242471620,Rear Wheel Lock Up,2023,Chevrolet,Express 3500,LS Rear-Wheel Drive Extended Passenger Van,1GAZGNFP3P1204308,NVV044,VAN #3 .,North Region,60.0,33,59417,05/08/2026,08/31/2028,
389911,LifeServe Blood Center,277GDL,03/04/2026,R25E3,Engine Inspection,2024,Nissan,Rogue,SV 4dr All-Wheel Drive,JN8BT3BB3RW170237,OHF651,Vehicle #3 .,North Region,60.0,24,47817,05/06/2026,05/31/2029,
389911,LifeServe Blood Center,277GXN,04/09/2026,06DR,Side Curtain Airbag,2024,Chrysler,Voyager,LX Passenger Van,2C4RC1CG4RR106872,OHA966,VEHICLE #15 .,Central Region,60.0,27,35963,05/08/2026,02/28/2029,
389911,LifeServe Blood Center,277GZP,04/09/2026,06DR,Side Curtain Airbag,2024,Chrysler,Voyager,LX Passenger Van,2C4RC1CG1RR118610,OEL713,VEHICLE #54 .,North Region,60.0,27,75905,05/08/2026,02/28/2029,
389911,LifeServe Blood Center,27GRBK,04/09/2026,06DR,Side Curtain Airbag,2024,Chrysler,Pacifica Hybrid,Select Front-Wheel Drive Passenger Van,2C4RC1S79RR112359,OHA749,VEHICLE #51 .,Central Region,60.0,27,56766,05/09/2026,02/28/2029,
389911,LifeServe Blood Center,27KC66,03/04/2026,R25E2,Engine Inspection,2023,Nissan,Rogue,SV 4dr All-Wheel Drive,JN8BT3BB7PW350205,OEH405,VEHICLE #83 .,Central Region,60.0,29,53747,05/08/2026,12/31/2028,
389911,LifeServe Blood Center,27PT3G,03/04/2026,R25E3,Engine Inspection,2024,Nissan,Rogue,SV 4dr Front-Wheel Drive,JN8BT3BA4RW362421,PBL195,Vehicle #18 .,-,60.0,18,33191,05/09/2026,11/30/2029,
389911,LifeServe Blood Center,27WHDK,04/09/2026,06DR,Side Curtain Airbag,2023,Chrysler,Voyager,LX Passenger Van,2C4RC1CG3RR105843,OPV206,VEHICLE #85 .,Central Region,60.0,25,49791,05/08/2026,04/30/2029,
